cell	library_size
mSp_rep3_002	7066
mSp_rep3_003	124922
mSp_rep3_004	35528
mSp_rep3_005	32718
mSp_rep3_006	30144
mSp_rep3_007	24154
mSp_rep3_008	44201
mSp_rep3_009	33745
mSp_rep3_010	29356
mSp_rep3_011	32301
mSp_rep3_012	36584
mSp_rep3_013	31379
mSp_rep3_014	29641
mSp_rep3_015	28213
mSp_rep3_016	38297
mSp_rep3_017	21516
mSp_rep3_018	18188
mSp_rep3_019	18983
mSp_rep3_020	22712
mSp_rep3_021	18250
mSp_rep3_022	22859
mSp_rep3_023	21369
mSp_rep3_024	32362
mSp_rep3_025	23855
mSp_rep3_026	7180
mSp_rep3_027	31071
mSp_rep3_028	32789
mSp_rep3_029	29237
mSp_rep3_030	29693
mSp_rep3_031	48673
mSp_rep3_032	33618
mSp_rep3_033	79866
mSp_rep3_034	26558
mSp_rep3_035	82078
mSp_rep3_036	9024
mSp_rep3_037	28211
mSp_rep3_038	26933
mSp_rep3_039	29686
mSp_rep3_040	633
mSp_rep3_041	21133
mSp_rep3_042	3425
mSp_rep3_043	28371
mSp_rep3_044	25425
mSp_rep3_045	18153
mSp_rep3_046	58325
mSp_rep3_047	18760
mSp_rep3_048	12997
mSp_rep3_049	35198
mSp_rep3_050	33875
mSp_rep3_051	35281
mSp_rep3_052	32361
mSp_rep3_053	63277
mSp_rep3_054	41957
mSp_rep3_055	22288
mSp_rep3_056	33204
mSp_rep3_057	33552
mSp_rep3_058	27245
mSp_rep3_059	1407
mSp_rep3_060	37442
mSp_rep3_061	63607
mSp_rep3_062	27700
mSp_rep3_063	26560
mSp_rep3_064	36235
mSp_rep3_065	35146
mSp_rep3_066	30346
mSp_rep3_067	11456
mSp_rep3_068	22679
mSp_rep3_069	32440
mSp_rep3_070	52955
mSp_rep3_071	31503
mSp_rep3_072	33542
mSp_rep3_073	31768
mSp_rep3_074	18038
mSp_rep3_075	27869
mSp_rep3_076	32953
mSp_rep3_077	23893
mSp_rep3_078	41146
mSp_rep3_079	28930
mSp_rep3_080	24975
mSp_rep3_081	233613
mSp_rep3_082	37509
mSp_rep3_083	33402
mSp_rep3_084	23883
mSp_rep3_085	33441
mSp_rep3_086	25591
mSp_rep3_087	26261
mSp_rep3_088	33106
mSp_rep3_089	15595
mSp_rep3_090	24198
mSp_rep3_091	24934
mSp_rep3_092	120
mSp_rep3_093	55259
mSp_rep3_094	33559
mSp_rep3_095	36354
mSp_rep3_096	29962
mSp_rep3_097	36967
mSp_rep3_098	30695
mSp_rep3_099	33287
mSp_rep3_100	49868
mSp_rep3_101	21846
mSp_rep3_102	21237
mSp_rep3_103	39797
mSp_rep3_104	33438
mSp_rep3_105	10777
mSp_rep3_106	27252
mSp_rep3_107	27480
mSp_rep3_108	23450
mSp_rep3_109	28332
mSp_rep3_110	53868
mSp_rep3_111	24031
mSp_rep3_112	25853
mSp_rep3_113	28258
mSp_rep3_114	48019
