cell	frip
mSp_rep4_249	0.673001
mSp_rep4_250	0.731189
mSp_rep4_251	0.851948
mSp_rep4_252	0.758990
mSp_rep4_253	0.713717
mSp_rep4_254	0.732585
mSp_rep4_255	0.772139
mSp_rep4_256	0.745893
mSp_rep4_257	0.728512
mSp_rep4_258	0.761676
mSp_rep4_259	0.558298
mSp_rep4_260	0.696944
mSp_rep4_261	0.636417
mSp_rep4_262	0.674760
mSp_rep4_263	0.754931
mSp_rep4_264	0.101657
mSp_rep4_265	0.745753
mSp_rep4_266	0.805008
mSp_rep4_267	0.762899
mSp_rep4_268	0.711282
mSp_rep4_269	0.748949
mSp_rep4_270	0.742699
mSp_rep4_271	0.735621
mSp_rep4_272	0.766168
mSp_rep4_273	0.748529
mSp_rep4_274	0.733870
mSp_rep4_275	0.755965
mSp_rep4_276	0.753921
mSp_rep4_277	0.719218
mSp_rep4_278	0.733865
mSp_rep4_279	0.716831
mSp_rep4_280	0.676913
mSp_rep4_281	0.698494
mSp_rep4_282	0.653163
mSp_rep4_283	0.726366
mSp_rep4_284	0.685617
mSp_rep4_285	0.738844
mSp_rep4_286	0.721957
mSp_rep4_287	0.738180
mSp_rep4_288	0.731885
mSp_rep4_289	0.753511
mSp_rep4_290	0.716826
mSp_rep4_291	0.750085
mSp_rep4_292	0.704606
mSp_rep4_293	0.696019
mSp_rep4_294	0.730080
mSp_rep4_295	0.712802
mSp_rep4_296	0.799971
mSp_rep4_297	0.775680
mSp_rep4_298	0.773960
mSp_rep4_299	0.772749
mSp_rep4_300	0.642880
mSp_rep4_301	0.758973
mSp_rep4_302	0.688602
mSp_rep4_303	0.751476
mSp_rep4_304	0.769640
mSp_rep4_305	0.724165
mSp_rep4_306	0.688110
mSp_rep4_307	0.718461
mSp_rep4_308	0.610139
mSp_rep4_309	0.792210
mSp_rep4_310	0.777671
mSp_rep4_311	0.697941
mSp_rep4_312	0.700362
mSp_rep4_313	0.739807
mSp_rep4_314	0.771395
mSp_rep4_315	0.748854
mSp_rep4_316	0.677333
mSp_rep4_317	0.675479
mSp_rep4_318	0.711141
mSp_rep4_319	0.691578
mSp_rep4_320	0.709783
mSp_rep4_321	0.688453
mSp_rep4_322	0.656108
mSp_rep4_323	0.661167
mSp_rep4_324	0.667824
mSp_rep4_325	0.751064
mSp_rep4_326	0.728658
mSp_rep4_327	0.709322
mSp_rep4_328	0.702057
mSp_rep4_329	0.687612
mSp_rep4_330	0.684570
mSp_rep4_331	0.680508
mSp_rep4_332	0.750979
mSp_rep4_333	0.760080
mSp_rep4_334	0.794560
mSp_rep4_335	0.714054
mSp_rep4_336	0.660720
mSp_rep4_337	0.599152
mSp_rep4_338	0.381595
mSp_rep4_339	0.763279
mSp_rep4_340	0.716213
mSp_rep4_341	0.701943
mSp_rep4_342	0.853204
mSp_rep4_343	0.736172
mSp_rep4_344	0.581772
mSp_rep4_345	0.657647
mSp_rep4_346	0.741512
mSp_rep4_347	0.716503
mSp_rep4_348	0.762438
mSp_rep4_349	0.602539
mSp_rep4_350	0.750604
mSp_rep4_351	0.588770
mSp_rep4_352	0.735349
mSp_rep4_353	0.582717
mSp_rep4_354	0.732649
